,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
152,10298,CT756,"SUCO  GREENPEOPLE LARANJA, BETERRABA E CENOURA 250ML",GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
153,10300,CT758,SUCO  GREENPEOPLE ABACAXI COM HORTELÃ 250ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
154,10301,CT759,SUCO  VERDE GREENPEOPLE 250ML,GREENPEOPLE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Fairlie Padoan,Pietro,Sucos e Chás Refrigerados
155,10302,CT760,LASANHA CONGELADA QUATRO QUEIJOS FORNO DE MINAS 600G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pratos Prontos
156,10304,CT762,FOLHADO DE FRANGO FORNO DE MINAS 240G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pratos Prontos
157,10308,CT766,PÃO DE QUEIJO FORNO DE MINAS COQUETEL 400G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pães Congelados e Lanches
158,10310,CT768,PÃO DE QUEIJO  FORNO DE MINAS TRADICIONAL 820G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pães Congelados e Lanches
159,10311,CT769,PÃO DE QUEIJO FORNO DE MINAS TRADICIONAL 400G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pães Congelados e Lanches
160,10312,CT770,WAFFLE TRADICIONAL FORNO DE MINAS 280G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pratos Prontos
161,10313,CT771,WAFFLE 44% INTEGRAL FORNO DE MINAS 280G,FORNO DE MINAS ALIMENTOS S/A,Laura Morais,Pietro,Pratos Prontos
162,10314,CT772,REQUEIJÃO CREMOSO AVIAÇÃO 250G,AVIAÇÃO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
163,10315,CT786,REQUEIJÃO CREMOSO AVIAÇÃO LIGHT 250G,AVIAÇÃO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
164,10371,CT1038,LEITE PASTEURIZADO FAZENDA TIPO A INTEGRAL 1L,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Leites Refrigerados
165,10372,CT1039,LEITE PASTEURIZADO FAZENDA TIPO A DESNATADO 1L,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Leites Refrigerados
166,10373,CT1040,CREME DE LEITE PASTEURIZADO FAZENDA 500G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Leites Refrigerados
167,10374,CT1041,IOGURTE NATURAL PARCIALMENTE DESNATADO FAZENDA 170G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Iogurtes
168,10376,CT1043,IOGURTE ADOÇADO INTEGRAL FAZENDA 170G,FAZENDA BELA VISTA - DERIVADOS,Geovanna Bezerra,Pietro,Iogurtes
