id_modelo,cod_produto,nome,preco_loja_programada,preco_loja_fresh,
24524,CT193517,BERINJELA CARAMELIZADA BABA SOL 200G,"18,89","18,89",Geovanna Bezerra
24525,CT193518,PÃO COM LINGUIÇA SIMPLE 300G,"27,99","27,99",Laura Morais
24526,CT193519,BURRATA DE BÚFALA LEVITARE 150G,"39,9","39,9",Geovanna Bezerra
24528,CT193521,MOZZARELA DE BÚFALA CEREJA À VACUO LEVITARE 250G,"29,99","29,99",Geovanna Bezerra
24529,CT193522,MOZZARELA DE BÚFALA CEREJA LEVITARE 150G,"21,99","21,99",Geovanna Bezerra
24530,CT193523,MOZZARELA DE BÚFALA CEREJA SEM LACTOSE LEVITARE 150G,"28,99","28,99",Geovanna Bezerra
24531,CT193524,MOZZARELA DE BÚFALA FATIADA LEVITARE 150G,"19,99","19,99",Geovanna Bezerra
24532,CT193525,QUEIJO MINAS PADRÃO DE BÚFALA LEVITARE 300G,"43,9","43,9",Geovanna Bezerra
24534,CT193527,REQUEIJÃO CREMOSO DE BÚFALA LEVITARE 200G,"18,49","18,49",Geovanna Bezerra
24536,CT193529,RICOTA FRESCA DE BÚFALA LEVITARE 400G,"19,99","19,99",Geovanna Bezerra
24539,CT193532,MOLHO 4 QUEIJOS PRESIDENT CAIXA 200G,"6,79",,Juliana Rodrigues
24561,CT193549,MINI PÃES DE QUEIJO CONGELADOS SALGADOS DA BISA 300G,"8,99","8,99",Laura Morais
24562,CT193550,MINI KIBES DE CARNE CONGELADOS SALGADOS DA BISA 400G,"12,99","12,99",Laura Morais
24563,CT193551,MINI BOLINHOS DE QUEIJO CONGELADOS SALGADOS DA BISA 400G,"12,99","12,99",Laura Morais
24564,CT193552,MINI BOLINHOS DE CALABRESA COM REQUEIJÃO CONGELADOS SALGADOS DA BISA 400G,"12,99","12,99",Laura Morais
24565,CT193553,MINI COXINHAS DE FRANGO CONGELADAS SALGADOS DA BISA 400G,"12,99","12,99",Laura Morais
